"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 12:01:33 IST 2024","Tue Jun 25 12:01:55 IST 2024","21527","","Login Tests","","Login Tests","should display an error message for invalid credentials","should display an error message for invalid credentials",""
"passed","Tue Jun 25 12:01:55 IST 2024","Tue Jun 25 12:01:59 IST 2024","4103","","Login Tests","","Login Tests","User able to login with valid credentials","User able to login with valid credentials",""
